,0,5-gram
0,0,add things shopping list
1,1,one every room house
2,2,play music throughout house
3,3,one living room one
4,4,living room one bedroom
5,5,two one living room
6,6,control lamps living room
7,7,ñsorry trouble understanding right
8,8,kids love asking random
9,9,ask news get news
10,10,ñsorry trouble understanding right
11,11,kids love asking random
12,12,download app mobile device
13,13,kids love asking questions
14,14,keeps us date weather
15,15,jokes answers kinds questions
16,16,even sang happy birthday
17,17,ñsorry trouble understanding right
18,18,try call one another
19,19,turn light say turn
20,20,ñsorry trouble understanding right
21,21,adding items shopping list
22,22,even thinking buying one
23,23,kitchen adding items shopping
24,24,integrate home automation devices
25,25,kids love asking random
26,26,kept saying couldn connect
27,27,love new best friend
28,28,ñsorry trouble understanding right
29,29,kids love asking random
