,5-star,1-star
0,add things shopping list,not stay connected wifi
1,one every room house,play music already downloaded
2,one living room one,not worth money hope
3,play music throughout house,would not recommend product
4,add something shopping list,would not recommend anyone
5,add items shopping list,half time doesn answer
6,easy set easy use,almost completely stopped using
7,doesn take much room,play amazon prime music
8,one upstairs one downstairs,could get money back
9,living room one bedroom,every time ask something
10,want one every room,get questions answered not
11,adding items shopping list,would not stay connected
12,makes life much easier,asking questions not really
13,play music answer questions,would not connect wifi
14,turn living room light,really scratchy support nothing
