,[5]_Star_Reviews,[1]_Star_Reviews
0,tell add items shopping list,would not stay connected wifi
1,two one living one bedroom,money buy blue tooth speaker
2,bluetooth speaker want listen music,return time worthless amazon paper
3,greatest thing since sliced bread,right slow lagging connect internet
4,telling good morning good night,right even holding hand responds
5,every morning getting ready work,right end mad want throw
6,blue tooth speaker works great,right box still trying get
7,find more uses every day,review patched someone home speaker
8,tell add something shopping list,review actually know works fully
9,shopping list play music etc,returning device immediately also drop
10,love ask play favorite songs,returned threw box away mistake
11,tell add things shopping list,returned speaker small even moved
12,cannot say enough good things,returned least amazon gave back
13,best 50 spent long time,returned husband concerns privacy lack
14,able play music throughout house,returned feb even return fun
